-2, -23, 50, -5, 2, 12, -19, 9
30, -4, 17, -54, -14, 5, -6, -20
4, -4, -57, -54, -43, -6, 16, -65
20, -38, -30, 0, 37, 24, -4, -5
-7, -13, 27, -22, -10, 30, 50, 13
-73, -14, 48, -59, -52, 35, 29, -14
-22, 26, 114, 42, 13, -13, 0, 19
-3, -7, 38, 27, 10, -14, 9, -17
-13, -97, -17, -59, 65, 28, -23, -18
30, -15, -7, 6, 80, 1, -24, 21
-18, 11, -80, 62, 25, 5, -26, 38
-41, 0, -59, -2, 10, 14, -15, 12
-16, 16, -63, 21, -13, -8, -7, -10
-41, -44, -82, 29, -9, -39, -11, 45
2, -15, 12, 24, -4, -15, 37, 60
-12, 2, -3, 22, 9, 2, -10, 30
-31, -26, -51, -75, -11, -9, -64, 8
13, 20, -6, -36, -41, -29, 2, 13
-30, 3, 2, -33, 31, -60, 41, 20
-21, -27, 29, 5, 31, 5, 43, 43
0, -11, 9, 55, -43, 16, 26, -3
-34, -20, -50, 6, -10, 23, -20, -9
-14, -12, 19, 2, -4, 57, -9, 46
5, 18, 36, -87, -34, -21, 32, -23
5, 50, -38, -59, 15, -48, 5, -48
14, 43, -33, 8, 28, -6, -26, -38
11, 18, 30, -16, -1, 0, -28, 0
-34, 13, 67, -1, -35, -18, 9, 16
-37, -14, 20, 47, -14, -37, 6, 21
-33, -19, -19, 77, 29, -4, -15, 65
-57, 8, 60, -13, 13, 71, 36, -21
-36, 3, 64, -67, 14, 52, 1, -38
-39, -16, -2, -12, 10, 40, 9, -16
7, -5, -1, -3, 7, 28, 39, -26
18, -14, 21, 6, 15, -51, -53, 7
-48, -32, 32, 54, 15, -13, -45, -15
-2, 7, -27, -36, 6, -3, -29, -40
34, 2, -44, -40, 27, 11, -78, 15
-35, -54, 35, 61, 3, 34, -28, 40
1, -42, -15, 5, -55, -39, 21, -3
19, -7, -41, 23, 29, -3, 4, 26
-48, 13, 43, 8, 34, 0, -26, -11
-2, 7, -57, -57, -24, -1, -34, -44
-6, -9, -1, 25, 6, 6, -4, 8
-1, 14, 96, -48, 5, -23, -13, 6
16, 3, -56, -82, 10, 27, -31, 17
-5, -27, -49, 47, -4, 6, -26, 2
17, -8, 30, 3, 2, -11, -21, 11
-10, 17, 26, 4, 32, 0, -4, 17
